iteration,scenario,dalys_averted,total_cost_usd,cost_per_daly,as_reduction_pct,mn_reduction_pct,fe_reduction_pct
5,S2_po4_removal,42743622.54350257,151500000,3.5443884019378564,89.44970408596114,9.882402145469793,
5,S3_multi_treatment,68072212.77856898,808000000,11.869747831296895,94.87812418994385,80.64947340024017,99.19210722359257
5,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
5,S5_fertilizer_policy,5562388.822018921,50000000,8.988943707436121,12.063027836588628,,
6,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
6,S2_po4_removal,27578784.512340337,151500000,5.493353049414131,54.981373004563594,14.692661406586405,
6,S3_multi_treatment,68099966.21615574,808000000,11.864910438212723,98.37089235633007,70.56468357977018,96.20424145997318
6,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
6,S5_fertilizer_policy,7944510.677798994,50000000,6.293653823101459,17.229082058233445,,
7,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
7,S2_po4_removal,30763207.10897299,151500000,4.92471410615087,63.628535923868824,9.394007913209654,
7,S3_multi_treatment,68104070.66114734,808000000,11.864195372699735,98.88743646956262,72.8901333741135,84.80014447723204
7,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
7,S5_fertilizer_policy,11370871.066375673,50000000,4.397200505408324,24.659752956673646,,
8,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
8,S2_po4_removal,33208160.70379886,151500000,4.562131620335995,70.96900000471942,3.1916287656252726,
8,S3_multi_treatment,54889062.521325774,808000000,14.720601206953967,87.05333172101649,78.93331750040768,89.43389283651534
8,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
8,S5_fertilizer_policy,5994710.251990803,50000000,8.34068668846761,13.000593621896565,,
9,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
9,S2_po4_removal,36362994.75831034,151500000,4.166323511222255,73.59298494811829,16.027103795756062,
9,S3_multi_treatment,68060259.63712887,808000000,11.87183246593453,93.37382218123574,86.19583944950094,85.879610232044
9,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
9,S5_fertilizer_policy,5535168.705808289,50000000,9.033148338827118,12.003996181292546,,
10,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
10,S2_po4_removal,36849573.13683997,151500000,4.111309497057362,75.49567303050074,13.448171283830224,
10,S3_multi_treatment,51547901.850874126,808000000,15.6747407942521,84.28252117831255,64.00643269128781,95.7952678668953
10,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
10,S5_fertilizer_policy,11149534.337551676,50000000,4.484492220594344,24.17974495894178,,
11,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
11,S2_po4_removal,16902854.63777765,151500000,8.962983072776332,35.19428240128423,4.450779034798958,
11,S3_multi_treatment,57891502.94505495,808000000,13.957143257567107,97.40688039432727,68.23505105240382,84.60078266922483
11,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
11,S5_fertilizer_policy,12197198.721778058,50000000,4.099301908619818,26.45179120286803,,
12,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
12,S2_po4_removal,27058328.832551025,151500000,5.5990154062192605,53.344018962080554,16.24056747767664,
12,S3_multi_treatment,55517315.95508978,808000000,14.554017716807927,96.03292741551462,54.303075787309815,96.48420458284758
12,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
12,S5_fertilizer_policy,5409830.306753106,50000000,9.242434081081038,11.732177607443358,,
13,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
13,S2_po4_removal,24227164.937119022,151500000,6.253311123823787,47.2654019676582,16.05413037420347,
13,S3_multi_treatment,40013868.542112164,808000000,20.192998813639555,58.20795071530159,68.99263061990749,87.25126268267812
13,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
13,S5_fertilizer_policy,14197656.892615236,50000000,3.5217078689940013,30.790139954255924,,
14,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
