depth_zone,phys_zone,contaminant,ssp,n_models,baseline_dry,ensemble_median,ensemble_p5,ensemble_p95,ensemble_std,pct_change_median,pct_change_p5,pct_change_p95
Deep,GBM_Delta,Fe2+,ssp245,5,1.6623450000000002,1.8140136443163482,1.8027887684179624,1.8199767244258116,0.007011892421111868,9.123776611735106,8.448533151539676,9.482491566179787
Deep,GBM_Delta,Fe2+,ssp585,6,1.6623450000000002,1.9020652533726392,1.8925006976132983,1.90833547738987,0.006636513499220697,14.420607838483527,13.84524257078393,14.797799337073217
Deep,GBM_Delta,Cr3+,ssp245,5,0.0090499999999999,0.008328407530839443,0.008037229661811722,0.008876519477047512,0.0003423914915700671,-7.973397449286907,-11.190832466167842,-1.9169118558275144
Deep,GBM_Delta,Cr3+,ssp585,6,0.0090499999999999,0.00814231724121383,0.007836141500799707,0.008609355569238619,0.0003240616968083428,-10.029643743492601,-13.41280109613488,-4.868999234931338
Deep,GBM_Delta,NO3-,ssp245,5,2.2,2.25345479423663,2.2291899718176533,2.299130789753969,0.028532624297505325,2.4297633743922584,1.3268169008024158,4.505944988816754
Deep,GBM_Delta,NO3-,ssp585,6,2.2,2.3078472701011625,2.282332625066653,2.3467671307698947,0.027005141400694987,4.902148640961925,3.7423920484842146,6.6712332168133885
Deep,Ganges_Floodplain,As,ssp245,5,10.1645,12.060704777986953,11.767495718062609,12.21646855916165,0.18316018846858453,18.65517022959272,15.770531930371472,20.187599578549353
Deep,Ganges_Floodplain,As,ssp585,6,10.1645,13.089602397857863,12.839763163270554,13.253389196594021,0.17335477932201748,28.777631933276236,26.31967301166367,30.388993030587056
Deep,Ganges_Floodplain,Mn2+,ssp245,5,0.2566,0.32331086834608236,0.3028948402497199,0.3341566373468043,0.012753369745377401,25.998000134872317,18.041636886095056,30.2247222707733
Deep,Ganges_Floodplain,Mn2+,ssp585,6,0.2566,0.35475499144653283,0.3373587867241263,0.36615939991083285,0.012070623077575634,38.252140080488246,31.472637070976727,42.696570503052556
